b_Intercept,b_age_centered,b_Iage_centeredE2,b_Iage_centeredE3,sigma,Intercept,lp__
-7.44707,1.54472,-0.0512994,0.00045122,1.07016,1.27644,-5234.54
-7.45104,1.54225,-0.0511579,0.000449795,1.07619,1.27654,-5174.42
-7.40525,1.54246,-0.0512289,0.000450008,1.07683,1.27654,-5170.01
-7.44663,1.54221,-0.051186,0.000450234,1.08062,1.27664,-5138.95
-7.46139,1.54181,-0.0509574,0.000446521,1.08147,1.27671,-5130.7
-7.47186,1.54118,-0.0508778,0.000445558,1.08551,1.27663,-5096.49
-7.4563,1.53834,-0.0508014,0.000445075,1.09662,1.27683,-4998.37
-7.35159,1.53828,-0.0512449,0.000450991,1.09696,1.27686,-4995.28
-7.39373,1.53816,-0.0509875,0.000447221,1.10044,1.27698,-4968.25
-7.42153,1.53834,-0.0510119,0.000448198,1.10977,1.27691,-4900.02
-7.40853,1.53741,-0.0510077,0.00044825,1.11235,1.27695,-4877.17
-7.3969,1.5374,-0.0510279,0.000448374,1.11275,1.27697,-4874.2
-7.39085,1.53706,-0.0510337,0.0004485,1.11429,1.27697,-4861.66
-7.41078,1.53687,-0.0509393,0.000447278,1.11478,1.27695,-4857.42
-7.35191,1.53683,-0.0512559,0.000451848,1.11488,1.27695,-4857.32
-7.45056,1.5366,-0.0507727,0.000445195,1.11576,1.27685,-4850.41
-7.35358,1.53635,-0.0512369,0.000451742,1.11613,1.27688,-4846.24
-7.38826,1.53633,-0.0509897,0.000447952,1.11616,1.27688,-4845.04
-7.3741,1.53629,-0.0511115,0.000449908,1.11671,1.27689,-4841.18
-7.39117,1.53633,-0.050967,0.0004476,1.11679,1.27689,-4840.64
-7.46444,1.53607,-0.05069,0.000444208,1.11794,1.27688,-4833.62
-7.4566,1.5356,-0.0507048,0.000444519,1.12303,1.2771,-4795.79
-7.43815,1.53561,-0.0506892,0.000443825,1.12302,1.2771,-4795.11
-7.41937,1.53251,-0.050594,0.000443039,1.13598,1.27722,-4693.43
-7.33595,1.53239,-0.0510303,0.000449314,1.13696,1.27721,-4685.56
-7.39554,1.53219,-0.050691,0.000444447,1.1375,1.27707,-4680.97
-7.37644,1.53219,-0.0509157,0.000448173,1.139,1.27703,-4670.98
-7.38889,1.53229,-0.050828,0.00044678,1.14048,1.27707,-4661.51
-7.36797,1.53227,-0.0508583,0.000446891,1.14057,1.27707,-4660.57
-7.37152,1.53201,-0.05082,0.000446381,1.14339,1.27721,-4641.02
-7.41334,1.53184,-0.0507523,0.000446124,1.14404,1.27725,-4637.46
-7.35528,1.53154,-0.0509408,0.000448466,1.1445,1.27727,-4632.09
-7.34703,1.53161,-0.0508368,0.000446335,1.14463,1.27729,-4631.64
-7.3766,1.53145,-0.0507413,0.000445288,1.14592,1.27713,-4622.22
-7.39493,1.52837,-0.0504432,0.000441558,1.15507,1.27714,-4552.08
-7.36988,1.52834,-0.0505279,0.000442585,1.15508,1.27713,-4551.37
-7.2806,1.52792,-0.0510704,0.000450828,1.15768,1.27715,-4534.37
-7.35463,1.52779,-0.050587,0.000443587,1.15806,1.27717,-4530.03
-7.36504,1.52769,-0.0506375,0.000444791,1.15936,1.27723,-4521.49
